time (unix)	dt (s)	p (Pa)
1616490443.498	0.168	2745.52
1616490444.515	0.175	2742.53
1616490445.522	0.175	2739.71
1616490446.514	0.175	2736.54
1616490447.522	0.175	2734.09
1616490448.505	0.168	2731.87
1616490449.522	0.176	2729.79
1616490450.506	0.167	2727.25
1616490451.522	0.175	2725.05
1616490452.506	0.167	2723.08
1616490453.514	0.167	2721.02
1616490454.506	0.167	2719.46
1616490455.514	0.167	2717.80
1616490456.513	0.175	2715.73
1616490456.993	0.176	2714.90
1616490464.928	1.615	2704.38
1616490469.928	1.607	2698.84
1616490474.933	1.607	2693.74
1616490479.923	1.607	2689.84
1616490484.929	1.607	2687.70
1616490489.919	1.607	2685.52
1616490494.926	1.607	2683.94
1616490499.932	1.607	2683.22
1616490504.922	1.607	2683.04
1616490509.928	1.607	2683.69
1616490514.919	1.607	2684.74
1616490519.925	1.607	2685.73
1616490524.939	1.615	2686.26
1616490529.921	1.607	2685.15
1616490534.928	1.607	2683.87
1616490539.941	1.615	2682.55
1616490544.931	1.615	2681.07
1616490549.938	1.615	2679.92
1616490554.928	1.615	2678.72
1616490559.933	1.615	2677.32
1616490564.931	1.607	2676.15
1616490569.929	1.615	2674.85
1616490574.928	1.607	2674.16
1616490579.934	1.607	2673.41
1616490584.924	1.606	2672.84
1616490589.929	1.607	2671.86
1616490594.918	1.607	2671.22
1616490599.925	1.607	2670.24
1616490604.940	1.614	2669.03
1616490609.921	1.607	2668.20
1616490614.935	1.615	2667.43
1616490619.918	1.607	2667.03
1616490624.925	1.607	2666.95
1616490629.940	1.615	2666.62
1616490634.923	1.606	2666.37
1616490639.929	1.607	2666.24
1616490644.919	1.607	2666.13
1616490649.925	1.607	2665.70
1616490654.939	1.615	2665.26
1616490659.922	1.607	2664.30
1616490664.936	1.615	2663.62
1616490669.918	1.607	2663.07
1616490674.932	1.615	2662.19
1616490679.945	1.607	2661.26
1616490684.928	1.615	2700.50
1616490689.926	1.607	2838.04
1616490694.932	1.607	2879.86
1616490699.931	1.615	2901.27
1616490704.928	1.606	2915.32
1616490709.926	1.615	2925.55
1616490714.925	1.607	2933.37
1616490719.931	1.607	2939.24
1616490724.921	1.607	2943.94
1616490729.927	1.607	2948.17
1616490734.934	1.607	2951.10
1616490739.924	1.607	2953.71
1616490744.937	1.615	2955.86
1616490749.920	1.607	2957.45
1616490754.927	1.607	2958.95
1616490759.941	1.615	2959.89
1616490764.923	1.607	2960.68
1616490769.930	1.607	2961.13
1616490774.920	1.607	2962.04
1616490779.934	1.615	2963.32
1616490784.940	1.615	2963.89
1616490789.923	1.607	2964.12
1616490794.938	1.615	2964.29
1616490799.920	1.607	2964.68
