time (unix)	dt (s)	source (°C)
1616490443.521	0.097	24.3000
1616490453.544	0.109	24.3000
1616490463.537	0.103	24.2890
1616490470.585	0.101	24.2870
1616490481.585	0.094	24.2860
1616490492.600	0.105	24.2730
1616490503.568	0.082	24.2750
1616490514.585	0.091	24.2640
1616490536.576	0.092	24.2570
1616490547.576	0.083	24.2450
1616490558.585	0.100	24.2410
1616490569.593	0.102	24.2330
1616490580.593	0.098	24.2300
1616490591.561	0.076	24.2190
1616490602.587	0.091	24.2130
1616490613.588	0.103	24.2080
1616490624.561	0.076	24.1970
1616490635.588	0.093	24.1950
1616490646.592	0.098	24.1820
1616490657.583	0.098	24.1720
1616490668.583	0.089	24.1750
1616490679.585	0.099	24.1560
1616490690.587	0.092	24.1540
1616490701.593	0.097	24.1490
1616490712.577	0.092	24.1320
1616490723.586	0.093	24.1320
1616490734.586	0.090	24.1260
1616490756.574	0.090	24.1100
1616490767.585	0.090	24.0880
1616490778.607	0.122	24.0920
1616490789.587	0.090	24.0820
1616490800.611	0.126	24.0670
1616490811.569	0.084	24.0670
1616490822.611	0.116	24.0500
1616490833.631	0.136	24.0450
1616490844.569	0.084	24.0340
1616490855.602	0.109	24.0230
1616490866.575	0.081	24.0210
1616490877.602	0.111	24.0020
1616490888.632	0.141	23.9930
1616490899.630	0.135	23.9880
1616490910.578	0.088	23.9740
1616490921.577	0.084	23.9640
1616490932.564	0.079	23.9580
1616490943.595	0.110	23.9470
1616490954.593	0.108	23.9360
1616490976.642	0.145	23.9180
1616490987.575	0.081	23.9030
1616490998.614	0.130	23.8960
1616491009.649	0.153	23.8820
1616491020.617	0.133	23.8710
1616491031.567	0.081	23.8650
1616491053.636	0.145	23.8410
1616491064.635	0.143	23.8360
1616491075.619	0.124	23.8180
1616491086.640	0.148	23.8090
1616491097.562	0.077	23.8000
1616491108.613	0.120	23.7890
1616491119.618	0.127	23.7770
1616491130.643	0.147	23.7640
1616491141.613	0.121	23.7510
1616491152.607	0.123	23.7460
1616491163.634	0.138	23.7310
1616491174.586	0.101	23.7170
1616491196.630	0.137	23.6950
1616491207.632	0.147	23.6920
1616491218.616	0.125	23.6800
1616491229.636	0.144	23.6620
1616491240.624	0.133	23.6490
1616491251.629	0.135	23.6440
1616491262.608	0.117	23.6300
1616491273.603	0.117	23.6160
1616491284.622	0.137	23.6060
1616491306.629	0.143	23.5840
1616491317.649	0.164	23.5670
1616491328.615	0.129	23.5560
1616491339.631	0.139	23.5450
1616491350.625	0.139	23.5350
1616491361.649	0.156	23.5160
