time (unix)	dt (s)	room (°C)	stage (°C)
1616490446.374	2.637	26.8973	25.4253
1616490455.951	2.616	26.8969	25.4488
1616490465.948	2.620	26.8966	25.4618
1616490475.961	2.620	26.8846	25.4685
1616490485.948	2.619	26.8828	25.4740
1616490495.949	2.618	26.8789	25.4757
1616490505.951	2.621	26.8889	25.4796
1616490515.961	2.623	26.8932	25.4829
1616490525.949	2.620	26.8998	25.4828
1616490535.964	2.623	26.9042	25.4843
1616490545.955	2.615	26.9170	25.4888
1616490555.952	2.615	26.9339	25.4877
1616490565.949	2.620	26.9318	25.4897
1616490575.954	2.615	26.9259	25.4879
1616490585.955	2.615	26.9279	25.4855
1616490595.954	2.615	26.9341	25.4862
1616490605.955	2.615	26.9331	25.4879
1616490615.954	2.616	26.9403	25.4871
1616490625.953	2.615	26.9275	25.4875
1616490635.964	2.624	26.9350	25.4881
1616490645.951	2.615	26.9439	25.4894
1616490655.949	2.620	26.9405	25.4911
1616490665.955	2.616	26.9363	25.4875
1616490675.951	2.615	26.9292	25.4876
1616490685.950	2.620	26.9178	25.4976
1616490695.954	2.615	26.9148	25.5347
1616490705.961	2.621	26.9144	25.5299
1616490715.950	2.620	26.9068	25.5196
1616490725.959	2.621	26.9053	25.5089
1616490735.949	2.620	26.9145	25.5030
1616490745.962	2.622	26.9285	25.5024
1616490755.952	2.622	26.9319	25.4983
1616490765.955	2.615	26.9253	25.4960
1616490775.954	2.615	26.9234	25.4943
1616490785.961	2.622	26.9157	25.4976
1616490795.951	2.620	26.9191	25.4921
1616490805.953	2.615	26.9160	25.4916
1616490815.954	2.615	26.9175	25.4871
1616490825.954	2.615	26.9209	25.4843
1616490835.962	2.621	26.9327	25.4842
1616490845.951	2.620	26.9427	25.4836
1616490855.953	2.615	26.9488	25.4834
1616490865.961	2.620	26.9509	25.4855
1616490875.948	2.619	26.9432	25.4914
1616490885.948	2.619	26.9294	25.4888
1616490895.952	2.623	26.9358	25.4895
1616490905.953	2.617	26.9506	25.4861
1616490915.962	2.622	26.9545	25.4854
1616490925.947	2.618	26.9634	25.4837
1616490935.953	2.621	26.9701	25.4809
1616490945.960	2.622	26.9611	25.4830
1616490955.951	2.620	26.9486	25.4913
1616490965.961	2.624	26.9437	25.4935
1616490975.963	2.625	26.9434	25.4922
1616490985.965	2.627	26.9427	25.4857
1616490995.953	2.622	26.9418	25.4808
1616491005.962	2.625	26.9374	25.4814
1616491015.960	2.623	26.9291	25.4783
1616491025.953	2.623	26.9108	25.4777
1616491035.964	2.627	26.9175	25.4788
1616491045.962	2.626	26.9364	25.4768
1616491055.971	2.632	26.9462	25.4741
1616491065.962	2.623	26.9430	25.4809
1616491075.965	2.627	26.9424	25.4837
1616491085.952	2.621	26.9516	25.4809
1616491095.960	2.623	26.9462	25.4788
1616491105.953	2.622	26.9478	25.4788
1616491115.961	2.622	26.9433	25.4777
1616491125.954	2.623	26.9358	25.4773
1616491135.952	2.622	26.9395	25.4772
1616491145.964	2.626	26.9242	25.4752
1616491155.960	2.621	26.9072	25.4756
1616491165.950	2.621	26.9167	25.4768
1616491175.964	2.623	26.9259	25.4736
1616491185.965	2.628	26.9418	25.4744
1616491195.958	2.627	26.9619	25.4722
1616491205.961	2.622	26.9703	25.4715
1616491215.963	2.622	26.9689	25.4726
1616491225.962	2.623	26.9763	25.4734
1616491235.965	2.627	26.9920	25.4706
1616491245.953	2.622	26.9918	25.4696
1616491255.963	2.626	27.0027	25.4697
1616491265.963	2.627	26.9939	25.4696
1616491275.964	2.627	26.9885	25.4689
1616491285.954	2.623	26.9859	25.4676
1616491295.962	2.631	26.9848	25.4673
1616491305.953	2.622	26.9779	25.4743
1616491315.964	2.626	26.9695	25.4732
1616491325.963	2.625	26.9717	25.4721
1616491335.960	2.621	26.9786	25.4716
1616491345.951	2.621	26.9827	25.4743
1616491355.951	2.615	26.9732	25.4757
1616491370.873	2.622	26.9875	25.4728
1616491380.883	2.625	26.9860	25.4731
1616491390.886	2.624	26.9793	25.4771
1616491400.884	2.626	26.9711	25.4753
1616491410.883	2.626	26.9702	25.4806
1616491420.884	2.626	26.9852	25.4750
1616491430.885	2.625	26.9769	25.4718
1616491440.886	2.626	26.9612	25.4705
1616491450.886	2.627	26.9613	25.4694
1616491460.875	2.624	26.9656	25.4667
1616491470.874	2.623	26.9658	25.4685
1616491480.885	2.626	26.9695	25.4641
1616491490.885	2.627	26.9663	25.4663
1616491500.872	2.622	26.9703	25.4649
1616491510.885	2.623	26.9764	25.4628
1616491520.886	2.626	26.9703	25.4650
1616491530.884	2.627	26.9695	25.4677
1616491540.884	2.628	26.9626	25.4681
1616491550.883	2.626	26.9682	25.4717
1616491560.882	2.622	26.9648	25.4788
1616491570.885	2.627	26.9508	25.4767
1616491580.884	2.626	26.9479	25.4833
1616491590.885	2.627	26.9387	25.4833
1616491600.885	2.628	26.9481	25.4814
1616491610.873	2.620	26.9617	25.4757
1616491620.885	2.623	26.9705	25.4703
1616491630.885	2.623	26.9897	25.4669
1616491640.886	2.628	27.0005	25.4656
1616491650.872	2.621	27.0027	25.4674
1616491660.886	2.628	27.0050	25.4649
1616491670.870	2.620	26.9974	25.4665
1616491680.875	2.615	26.9910	25.4651
1616491690.869	2.620	26.9904	25.4642
1616491700.885	2.623	26.9925	25.4637
1616491710.882	2.625	26.9873	25.4671
1616491720.881	2.623	26.9815	25.4711
1616491730.881	2.630	26.9945	25.4738
1616491740.886	2.627	26.9987	25.4716
1616491750.873	2.621	26.9922	25.4691
1616491760.886	2.626	26.9848	25.4660
1616491770.875	2.619	26.9808	25.4690
1616491780.886	2.627	26.9785	25.4697
1616491790.878	2.626	26.9683	25.4725
1616491800.874	2.623	26.9706	25.4775
1616491810.885	2.627	26.9677	25.4741
1616491820.886	2.627	26.9592	25.4780
1616491830.871	2.622	26.9581	25.4730
1616491840.886	2.626	26.9606	25.4719
1616491850.885	2.627	26.9717	25.4717
1616491860.885	2.628	26.9881	25.4725
1616491870.870	2.620	26.9865	25.4806
1616491880.884	2.622	26.9947	25.4758
1616491890.888	2.626	27.0031	25.4729
1616491900.875	2.623	26.9974	25.4723
1616491910.876	2.622	27.0022	25.4740
1616491920.874	2.623	27.0013	25.4727
1616491930.881	2.622	26.9992	25.4703
1616491940.873	2.621	26.9958	25.4673
1616491950.885	2.622	26.9814	25.4653
1616491960.885	2.628	26.9777	25.4668
1616491970.870	2.620	26.9678	25.4649
1616491980.882	2.623	26.9642	25.4658
1616491990.883	2.624	26.9597	25.4672
1616492000.885	2.626	26.9644	25.4676
1616492010.884	2.626	26.9685	25.4694
1616492020.881	2.622	26.9711	25.4688
1616492030.870	2.620	26.9659	25.4699
1616492040.881	2.621	26.9742	25.4753
1616492050.870	2.620	26.9854	25.4815
1616492060.881	2.621	26.9854	25.4787
1616492070.871	2.621	26.9908	25.4747
1616492080.884	2.621	26.9944	25.4749
1616492090.882	2.622	26.9816	25.4744
1616492100.870	2.621	26.9726	25.4752
1616492110.879	2.622	26.9647	25.4733
1616492120.872	2.621	26.9851	25.4732
1616492130.885	2.622	26.9863	25.4842
1616492140.881	2.623	26.9863	25.4813
1616492150.870	2.620	26.9778	25.4770
1616492160.877	2.618	26.9775	25.4771
1616492170.886	2.627	26.9858	25.4738
1616492180.874	2.622	26.9900	25.4738
1616492190.885	2.625	26.9878	25.4735
1616492200.881	2.621	26.9864	25.4737
1616492210.871	2.620	26.9877	25.4732
1616492220.874	2.615	26.9872	25.4743
1616492230.881	2.621	26.9785	25.4766
1616492240.870	2.620	26.9702	25.4762
1616492250.874	2.616	26.9643	25.4751
1616492260.873	2.615	26.9698	25.4769
1616492270.880	2.630	26.9785	25.4856
1616492280.872	2.616	26.9733	25.4808
1616492290.873	2.621	26.9687	25.4781
1616492300.882	2.622	26.9668	25.4786
1616492310.882	2.622	26.9770	25.4774
1616492320.870	2.620	26.9823	25.4803
1616492330.875	2.616	26.9876	25.4823
1616492340.873	2.617	26.9909	25.4813
1616492350.881	2.621	26.9925	25.4848
1616492360.873	2.622	26.9941	25.4797
1616492370.874	2.617	26.9790	25.4808
1616492380.874	2.616	26.9880	25.4816
1616492390.882	2.623	26.9954	25.4848
1616492400.869	2.619	26.9912	25.4810
1616492410.868	2.617	26.9826	25.4769
1616492420.871	2.622	26.9815	25.4770
1616492430.874	2.616	26.9897	25.4765
1616492440.884	2.626	26.9746	25.4759
1616492450.881	2.621	26.9855	25.4757
1616492460.873	2.622	26.9769	25.4767
1616492470.874	2.616	26.9895	25.4870
1616492480.873	2.616	26.9997	25.4835
1616492490.883	2.623	26.9944	25.4801
1616492500.886	2.627	26.9869	25.4781
1616492510.871	2.621	26.9922	25.4773
1616492520.873	2.616	26.9996	25.4760
1616492530.872	2.622	27.0049	25.4770
1616492540.881	2.622	26.9945	25.4796
1616492550.871	2.619	26.9898	25.4810
1616492560.885	2.625	26.9891	25.4809
1616492570.876	2.615	26.9953	25.4793
1616492580.875	2.616	26.9891	25.4804
1616492590.883	2.622	26.9806	25.4793
1616492600.868	2.617	26.9840	25.4786
1616492610.871	2.620	26.9818	25.4799
1616492620.873	2.616	26.9857	25.4798
1616492630.882	2.622	26.9848	25.4791
1616492640.873	2.622	26.9742	25.4803
1616492650.883	2.622	26.9611	25.4911
1616492660.881	2.621	26.9544	25.4865
1616492670.870	2.620	26.9639	25.4834
1616492680.875	2.616	26.9740	25.4919
1616492690.873	2.616	26.9754	25.4880
1616492700.868	2.617	26.9663	25.4847
1616492710.871	2.621	26.9687	25.4846
1616492720.873	2.616	26.9790	25.4821
1616492730.881	2.621	26.9823	25.4822
1616492740.868	2.617	26.9743	25.4827
1616492750.873	2.622	26.9750	25.4901
1616492760.884	2.626	26.9681	25.4881
1616492770.884	2.625	26.9760	25.4864
1616492780.881	2.624	26.9618	25.4831
1616492790.874	2.616	26.9561	25.4823
1616492800.874	2.616	26.9568	25.4819
1616492810.880	2.621	26.9632	25.4834
1616492820.868	2.617	26.9625	25.4821
1616492830.870	2.620	26.9664	25.4813
1616492840.881	2.622	26.9602	25.4819
1616492850.871	2.619	26.9535	25.4821
1616492860.874	2.616	26.9671	25.4813
1616492870.883	2.621	26.9745	25.4825
1616492880.872	2.622	26.9703	25.4824
1616492890.881	2.621	26.9765	25.4847
1616492900.872	2.622	26.9695	25.4916
1616492910.873	2.616	26.9664	25.4984
1616492920.882	2.622	26.9636	25.4929
1616492930.869	2.620	26.9633	25.4892
1616492940.883	2.622	26.9585	25.4872
1616492950.881	2.620	26.9483	25.4846
1616492960.872	2.622	26.9484	25.4850
1616492970.880	2.621	26.9546	25.4848
1616492980.868	2.617	26.9516	25.4830
1616492990.870	2.618	26.9498	25.4912
1616493000.873	2.622	26.9367	25.4899
1616493010.881	2.621	26.9555	25.4881
1616493020.871	2.620	26.9702	25.4859
1616493030.873	2.616	26.9754	25.4850
1616493040.881	2.621	26.9761	25.4925
1616493050.868	2.617	26.9679	25.4879
1616493060.872	2.622	26.9491	25.4840
1616493070.873	2.616	26.9311	25.4826
1616493080.883	2.622	26.9295	25.4882
1616493090.874	2.616	26.9357	25.4832
1616493100.881	2.621	26.9401	25.4801
1616493110.870	2.620	26.9452	25.4818
1616493120.876	2.618	26.9499	25.4813
1616493130.876	2.618	26.9437	25.4818
1616493140.874	2.616	26.9448	25.4798
1616493150.875	2.616	26.9454	25.4808
1616493160.875	2.617	26.9486	25.4815
1616493170.875	2.616	26.9444	25.4840
1616493180.874	2.616	26.9523	25.4846
1616493190.885	2.625	26.9584	25.4911
1616493200.872	2.616	26.9630	25.4915
1616493210.873	2.622	26.9734	25.4976
1616493220.884	2.625	26.9830	25.4936
1616493230.882	2.622	26.9764	25.4897
1616493240.872	2.622	26.9746	25.4905
1616493250.882	2.623	26.9563	25.4891
1616493260.875	2.616	26.9500	25.4945
1616493270.880	2.622	26.9427	25.4904
1616493280.873	2.622	26.9369	25.4951
1616493290.871	2.615	26.9417	25.4914
1616493300.871	2.621	26.9404	25.4873
1616493310.880	2.622	26.9456	25.4854
1616493320.872	2.622	26.9382	25.4845
1616493330.884	2.621	26.9371	25.4861
1616493340.874	2.615	26.9374	25.4872
1616493350.874	2.615	26.9388	25.4866
1616493360.874	2.616	26.9471	25.4846
1616493370.883	2.622	26.9463	25.4840
1616493380.881	2.621	26.9475	25.4843
1616493390.871	2.620	26.9592	25.4832
1616493400.872	2.616	26.9606	25.4848
1616493410.873	2.622	26.9617	25.4856
1616493420.881	2.622	26.9725	25.4887
1616493430.871	2.621	26.9744	25.4868
1616493440.883	2.621	26.9687	25.4849
1616493450.871	2.621	26.9617	25.4899
1616493460.874	2.617	26.9485	25.4882
1616493470.874	2.617	26.9596	25.4878
1616493480.881	2.622	26.9587	25.4970
1616493490.870	2.620	26.9630	25.4938
1616493500.880	2.622	26.9472	25.4897
1616493510.870	2.621	26.9528	25.4895
1616493520.880	2.621	26.9542	25.4861
1616493530.870	2.620	26.9573	25.4849
1616493540.882	2.623	26.9542	25.4848
1616493550.881	2.622	26.9689	25.4885
1616493560.872	2.621	26.9645	25.4874
1616493570.883	2.621	26.9683	25.4855
1616493580.873	2.622	26.9667	25.4873
1616493590.884	2.627	26.9753	25.4875
1616493600.885	2.627	26.9662	25.4904
1616493610.873	2.616	26.9646	25.4882
1616493620.880	2.620	26.9532	25.4885
1616493630.871	2.620	26.9498	25.4890
1616493640.887	2.628	26.9625	25.4866
1616493650.874	2.622	26.9661	25.4907
1616493660.885	2.628	26.9742	25.4901
1616493670.874	2.622	26.9776	25.4943
1616493680.886	2.627	26.9687	25.4916
1616493690.871	2.622	26.9659	25.4911
1616493700.874	2.616	26.9654	25.4902
1616493710.875	2.616	26.9601	25.4900
1616493720.881	2.623	26.9492	25.4884
1616493730.886	2.624	26.9576	25.4865
1616493740.876	2.616	26.9625	25.4854
1616493750.875	2.617	26.9744	25.4869
1616493760.885	2.626	26.9794	25.4859
1616493770.874	2.617	26.9830	25.4888
1616493780.875	2.617	26.9743	25.4877
1616493790.873	2.617	26.9696	25.4866
1616493800.881	2.621	26.9552	25.4862
1616493810.873	2.622	26.9465	25.4884
1616493820.880	2.622	26.9450	25.4898
1616493830.869	2.620	26.9448	25.4938
1616493840.882	2.622	26.9499	25.4906
1616493850.875	2.623	26.9499	25.4878
1616493860.874	2.623	26.9541	25.4881
1616493870.874	2.617	26.9455	25.4890
1616493880.881	2.621	26.9434	25.4886
1616493890.871	2.621	26.9561	25.4957
1616493900.874	2.617	26.9646	25.4948
1616493910.873	2.616	26.9671	25.4880
1616493920.874	2.616	26.9705	25.4923
1616493930.875	2.616	26.9787	25.4986
1616493940.883	2.625	26.9812	25.5045
1616493950.882	2.621	26.9812	25.4986
1616493960.874	2.622	26.9730	25.4939
1616493970.874	2.616	26.9656	25.4909
1616493980.881	2.622	26.9641	25.4879
1616493990.868	2.617	26.9696	25.4878
1616494000.869	2.617	26.9637	25.4863
1616494010.872	2.622	26.9625	25.4866
1616494020.881	2.621	26.9571	25.4847
1616494030.872	2.622	26.9656	25.4856
1616494040.884	2.625	26.9511	25.4870
1616494050.875	2.616	26.9459	25.4869
1616494060.883	2.621	26.9538	25.4894
1616494070.882	2.622	26.9525	25.4915
1616494080.870	2.620	26.9467	25.4969
1616494090.882	2.622	26.9323	25.4867
1616494100.872	2.622	26.9327	25.4875
1616494110.882	2.621	26.9450	25.4926
1616494120.881	2.621	26.9439	25.4925
1616494130.870	2.620	26.9440	25.4915
1616494140.875	2.616	26.9509	25.4940
1616494150.872	2.615	26.9656	25.4987
1616494160.868	2.617	26.9570	25.4998
1616494170.868	2.617	26.9439	25.4953
